specialization_id,field_id,title,description,roadmap_id,skill_list
30,7,cloud engineer,"Cloud Engineers design, deploy, and manage cloud infrastructure and services.",30,"[Cloud Computing, AWS, Azure, GCP, Virtualization, Containerization, Cloud Security]"
31,7,site reliability engineer (se),SREs focus on maintaining the reliability and availability of software services through automation and collaboration.,31,"[Site Reliability Engineering, DevOps Practices, Monitoring and Alerting, Service Level Objectives (SLOs)]"
32,8,it project mananger,"IT Project Managers oversee the planning, execution, and successful delivery of IT projects.",32,"[IT Project Management, Project Planning, Resource Management, Agile and Waterfall Methodologies]"
33,8,scrum master,"Scrum Masters guide Agile teams through the Scrum process, ensuring effective collaboration and delivery.",33,"[Scrum Methodology, Agile Principles, Team Facilitation, Agile Tools, Jira]"
34,9,it business analyst,"IT Business Analysts bridge the gap between business needs and IT solutions, identifying requirements and process improvements.",34,"[Business Analysis, Requirements Gathering, Process Improvement, Data Analysis]"
35,9,it consultant,IT Consultants provide expert advice on IT strategies and solutions to clients.,35,"[IT Consulting, Client Communication, IT Strategy, Problem Solving]"
36,9,technology strategist,Technology Strategists develop long-term plans for technology adoption and innovation within an organization.,36,"[Technology Strategy, Innovation, Emerging Technologies, Market Analysis]"
37,10,blockchain developer,Technology Strategists develop long-term plans for technology adoption and innovation within an organization.,37,"[Blockchain Development, Smart Contracts, Cryptocurrency, Decentralized Applications (DApps)]"
38,10,quantum computing scientist,Quantum Computing Scientists research and develop quantum computing technologies and algorithms.,38,"[Quantum Computing, Quantum Algorithms, Quantum Hardware, Quantum Programming Languages]"
39,10,virtual reality (vr) developer,VR Developers create immersive virtual reality experiences and applications.,39,"[Virtual Reality Development, 3D Modeling, VR Frameworks, Unity, User Interaction in VR]"
40,10,augmented reality (ar) developer,AR Developers build applications that overlay digital information on the real world using augmented reality.,40,"[Augmented Reality Development, AR Frameworks, ARKit, ARCore, Markerless Tracking]"
41,10,edge computing engineer,Edge Computing Engineers design and implement computing solutions at the edge of the network to reduce latency and process data closer to the source.',41,"[Edge Computing, IoT (Internet of Things), Distributed Computing, Low Latency]"
